name,team,imageUrl,overallAvg,basesEmptyAvg,runner1Avg,runner2Avg,runner3Avg,runner12Avg,runner13Avg,runner23Avg,basesLoadedAvg
함창건,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50108.jpg,0.188,0.091,0.364,0.250,,0.000,0.000,0.000,0.000
최승민,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65905.jpg,0.000,,,,,,,,
강백호,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68050.jpg,0.265,0.255,0.244,0.320,0.222,0.212,0.455,0.500,0.333
강현우,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50066.jpg,0.188,0.139,0.273,0.167,0.000,0.500,0.333,0.500,0.000
조대현,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68089.jpg,0.187,0.083,0.188,0.500,0.000,0.333,0.000,0.000,1.000
이호연,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68504.jpg,0.343,0.342,0.417,0.250,0.000,0.444,0.000,0.000,0.333
황재균,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/76313.jpg,0.275,0.226,0.293,0.188,0.556,0.394,0.556,0.000,0.714
박민석,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69056.jpg,0.263,0.250,0.333,0.000,,,,,
오윤석,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64504.jpg,0.256,0.230,0.269,0.231,0.500,0.250,0.600,0.333,0.250
김상수,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/79402.jpg,0.254,0.228,0.278,0.303,0.286,0.283,0.444,0.200,0.125
권동진,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51003.jpg,0.225,0.197,0.246,0.063,0.500,0.333,0.333,0.333,0.200
문상철,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64007.jpg,0.214,0.255,0.133,0.000,0.500,0.250,0.143,0.200,0.000
장준원,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64115.jpg,0.207,0.169,0.375,0.455,0.000,0.000,0.000,0.200,0.000
윤준혁,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/50092.jpg,0.059,,,,,,,,
강민성,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69064.jpg,0.033,,,,,,,,
김민혁,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64004.jpg,0.287,0.318,0.224,0.208,0.167,0.227,0.385,0.167,0.385
스티븐슨,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55013.jpg,0.262,0.264,0.259,0.154,0.500,0.250,0.000,0.500,1.000
이정훈,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67644.jpg,0.258,0.211,0.400,0.400,0.000,0.308,0.000,0.200,0.250
로하스,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/67025.jpg,0.239,0.270,0.164,0.333,0.125,0.192,0.143,0.000,0.375
안치영,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/67006.jpg,0.227,0.167,0.286,0.667,,0.200,0.000,0.000,0.500
장진혁,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66706.jpg,0.209,0.250,0.095,0.125,0.000,0.250,0.000,0.400,0.000
배정대,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/64166.jpg,0.204,0.168,0.200,0.316,0.500,0.240,0.000,0.500,0.000
김병준,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52002.jpg,0.200,,,,,,,,
유준규,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51013.jpg,0.118,0.118,0.125,,,0.000,0.333,0.000,0.000
최성민,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/51007.jpg,0.105,,,,,,,,
김건형,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51005.jpg,0.000,,,,,,,,
